,DEPT,AGK,BK,DS,DT,GGKP,GK,GZ1,GZ2,GZ3,GZ4,GZ5,IK,LIT_new,MBK,MDS,MGZ,MPZ,NGK,NKT,PS,PZ,SATURAT_new,Soil_new,kp_new,well,FZ,EF_b
14647,3724.5,0.3930000067,14.149999619,NaN,246.78999329,2.5629999638,8.4329996109,7.8299999237,16.760000229,15.930000305,11.899999619,14.069999695,NaN,0.0,NaN,NaN,NaN,NaN,NaN,4.5799999237,NaN,17.760000229,NaN,NaN,NaN,235,2.0,3.0
14648,3724.6,0.5149999857,16.38999939,NaN,247.27999878,2.6059999466,7.6199998856,7.5799999237,15.81000042,15.840000153,11.899999619,13.979999542,NaN,1.0,NaN,NaN,NaN,NaN,NaN,4.6040000916,NaN,18.270000458,0.0,NaN,13.503000259,235,2.0,2.0
14649,3724.7,0.5910000205,17.290000916,NaN,247.89997864,2.5179998875,7.1069998741,7.9200000763,16.040000916,15.949999809,11.739999771,13.880000114,NaN,1.0,NaN,NaN,NaN,NaN,NaN,4.9400000572,NaN,19.309999466,0.0,NaN,13.503000259,235,2.0,2.0
14650,3724.8,0.6060000062,17.370000839,NaN,247.74000549,2.5050001144,7.0069999695,8.2399997711,16.379999161,15.930000305,11.619999886,13.829999924,NaN,1.0,NaN,NaN,NaN,NaN,NaN,5.1919999123,NaN,19.680000305,0.0,NaN,13.503000259,235,2.0,2.0
14651,3724.9,0.6269999743,17.270000458,NaN,246.69999695,2.4730000496,6.873000145,8.6099996567,16.989999771,16.170000076,11.619999886,13.720000267,NaN,1.0,NaN,NaN,NaN,NaN,NaN,5.6449999809,NaN,20.75,0.0,NaN,13.503000259,235,2.0,2.0
14652,3725.0,0.5989999771,16.799999237,NaN,245.55999756,2.5750000477,7.0570001602,8.8400001526,17.469999313,16.479999542,11.5,13.739999771,NaN,1.0,NaN,NaN,NaN,NaN,NaN,6.0739998817,NaN,21.129999161,0.0,NaN,13.503000259,235,2.0,2.0
14653,3725.1,0.5939999819,16.799999237,NaN,244.86999512,2.4749999046,7.0900001526,9.1400003433,18.659999847,17.129999161,11.479999542,13.649999619,NaN,1.0,NaN,NaN,NaN,NaN,NaN,6.359000206,NaN,21.629999161,0.0,NaN,13.503000259,235,2.0,2.0
14654,3725.2,0.5649999976,16.930000305,NaN,244.5,2.4609999657,7.2899999619,9.6199998856,19.25,17.350000381,11.470000267,13.670000076,NaN,1.0,NaN,NaN,NaN,NaN,NaN,6.6020002365,NaN,21.809999466,0.0,NaN,13.503000259,235,2.0,2.0
14655,3725.3,0.5770000219,16.909999847,NaN,244.03999329,2.4830000401,7.2069997787,9.7399997711,20.559999466,17.780000687,11.579999924,13.729999542,NaN,1.0,NaN,NaN,NaN,NaN,NaN,6.242000103,NaN,21.989999771,0.0,NaN,13.503000259,235,2.0,2.0
14656,3725.4,0.6019999981,16.670000076,NaN,243.3500061,2.5239999294,7.0399999619,9.8400001526,21.219999313,18.36000061,11.569999695,13.819999695,NaN,1.0,NaN,NaN,NaN,NaN,NaN,6.1399998665,NaN,22.270000458,0.0,NaN,13.503000259,235,2.0,2.0
14657,3725.5,0.5799999833,15.819999695,NaN,242.63000488,2.4769999981,7.1869997978,9.8900003433,22.409999847,18.680000305,11.569999695,13.93999958,NaN,0.0,NaN,NaN,NaN,NaN,NaN,5.8639998436,NaN,22.399999619,NaN,NaN,NaN,235,2.0,2.0
14658,3725.6,0.5279999971,15.229999542,NaN,242.00999451,2.4930000305,7.5370001793,9.8999996185,22.649999619,19.200000763,11.649999619,13.93999958,NaN,0.0,NaN,NaN,NaN,NaN,NaN,6.368999958,NaN,22.629999161,NaN,NaN,NaN,235,2.0,2.0
14659,3725.7,0.449000001,16.129999161,NaN,241.47000122,2.5360000134,8.0699996948,9.8100004196,22.920000076,19.530000687,11.75,14.029999733,NaN,0.0,NaN,NaN,NaN,NaN,NaN,6.251999855,NaN,22.75,NaN,NaN,NaN,235,2.0,2.0
14660,3725.8,0.4959999919,16.680000305,NaN,241.05999756,2.4539999962,7.7569999695,9.7700004578,23.549999237,20.079999924,11.970000267,14.130000114,NaN,0.0,NaN,NaN,NaN,NaN,NaN,6.4949998856,NaN,23.059999466,NaN,NaN,NaN,235,2.0,2.0
14661,3725.9,0.6000000238,16.579999924,NaN,240.86999512,2.4210000038,7.0570001602,9.7700004578,23.829999924,20.290000916,12.270000458,14.220000267,NaN,1.0,NaN,NaN,NaN,NaN,NaN,6.2329998016,NaN,23.129999161,0.0,NaN,13.704000473,235,2.0,2.0
14662,3726.0,0.6430000067,16.870000839,NaN,241.08999634,2.4470000267,6.7729997635,9.7299995422,24.069999695,20.590000153,12.369999886,14.43999958,NaN,1.0,NaN,NaN,NaN,NaN,NaN,5.9670000076,NaN,23.38999939,0.0,NaN,13.704000473,235,2.0,2.0
14663,3726.1,0.6869999766,17.329999924,NaN,241.69000244,2.4769999981,6.4730000496,9.6499996185,24.190000534,21.489999771,12.770000458,14.510000229,NaN,1.0,NaN,NaN,NaN,NaN,NaN,6.0739998817,NaN,23.760000229,0.0,NaN,13.704000473,235,2.0,2.0
